StarName,Reference,RA,Decl,Teff,logg,Metallicity,Fe,Fe_H_error,Sr,Sr_Fe_error,Y,Y_Fe_error,Zr,Zr_Fe_error,Nb,Nb_Fe_error,Pd,Pd_Fe_error,Ag,Ag_Fe_error,Eu,Eu_Fe_error,Tb,Tb_Fe_error,Tm,Tm_Fe_error,Hf,Hf_Fe_error,Ir,Ir_Fe_error,longitude,latitude,Coord_X,Coord_Y,Coord_Z,VX,VY,VZ,RV
BD+01_3597,C.J.Hansen AAP 545 A31 2012,18 07 56.60,+01 52 32.7,6482,4.47,-1.89,-1.9,0.15,0.22,0.11,0.17,0.12,0.56,0.15,,,0.77,0.27,,,,,,,,,,,,,029 37 03.14,+10 31 42.94,172.008,97.784,36.773,,,,
BD+03_740,D.K.Lai ApJ 681 1524 2008,05 01 16.53,+04 06 38.3,6557,4.28,-2.75,-2.71,0.08,-0.11,0.09,0.02,0.16,0.38,0.1,,,,,,,<0.67,,,,,,,,,,195 42 48.23,-22 11 42.70,-124.041,-34.898,-52.573,,,,
BD+04_2621,J.A.Johnson ApJ 579 616 2002,12 28 44.60,+04 01 27.0,,,,-2.34,,-0.35,0.3,-0.56,0.14,-0.21,0.08,,,<0.36,,,,,,,,,,,,,,,,,,,,,,
BD+04_2621,J.A.Johnson ApJ 554 888 2001,12 28 44.60,+04 01 27.0,4650,1.2,-2.35,-2.35,0.17,,,,,,,,,,,,,-0.77,0.23,<0.17,,<0.35,,,,,,288 44 51.74,+66 16 07.87,277.361,-817.186,1963.01,,,,
BD+04_2621,J.A.Johnson ApJS 139 219 2002,12 28 44.60,+04 01 27.0,4650,1.2,-2.35,-2.5,0.17,,,-0.4,0.14,-0.05,0.08,,,,,,,-0.63,0.23,<0.32,,<0.5,,,,,,288 44 51.74,+66 16 07.87,277.361,-817.186,1963.01,,,,
BD+05_3098,J.A.Johnson ApJ 579 616 2002,15 52 17.26,+05 17 44.4,,,,-2.56,,-0.2,0.3,-0.52,0.13,-0.16,0.14,,,<1.4,,,,,,,,,,,,,,,,,,,,,,
BD+05_3098,J.A.Johnson ApJ 554 888 2001,15 52 17.26,+05 17 44.4,4700,1.3,-2.55,-2.57,0.14,,,,,,,,,,,,,0.07,0.12,<0.76,,<0.64,,<1.35,,,,014 20 23.70,+41 47 20.04,1782.76,455.742,1644.59,,,,
BD+05_3098,J.A.Johnson ApJS 139 219 2002,15 52 17.26,+05 17 44.4,4700,1.3,-2.55,-2.72,0.14,,,-0.36,0.13,0,0.14,,,,,,,0.22,0.12,<0.91,,<0.79,,<1.65,,,,014 20 23.70,+41 47 20.04,1782.76,455.742,1644.59,,,,
BD+06_0648,M.Aoki ApJ 837 8 2017,04 13 13.10,+06 36 02.0,4400,0.9,-2.11,-2.11,,0.19,0.19,-0.08,0.26,0.29,0.18,,,-0.24,0.21,,,0.21,0.19,,,,,,,,,185 54 06.83,-30 42 11.12,-1475.91,-152.57,-881.112,122.731,12.687,73.27,-143.5
BD+08_2856,J.A.Johnson ApJ 579 616 2002,14 23 58.10,+08 01 33.0,,,,-1.94,,-0.15,0.3,-0.42,0.15,-0.07,0.09,,,0.01,0.25,-0.04,0.25,,,,,,,,,,,,,,,,,,,
